,individual,site1,site2
1,17079,at25,at13
2,18192,at03,at08
3,18219,at23,at23
4,18228,at23,at23
5,18236,at24b,at37
6,18237,at06,at16
7,18427,at08,at09
8,18505,at17,at21b
9,18597,at09,at09
10,22313,at09,at13
11,22587,at01,at15
12,30318,at09,at01
13,30344,at07,at09
14,30354,at17,at01
15,32294,at08,at01
16,32361,at02,at25
17,36346,at16,at17
18,36879,at03,at25
19,38593,at06,at08
20,38599,at03,at11
21,38664,at02,at08
22,38709,at24,at31
23,38743,at06,at11
24,38758,at14,at06
25,38791,at03,at03
26,38811,at06,at01
27,38818,at17,at01
28,38938,at05,at05
29,40020,at16,at05
30,40024,at06,at11
31,40051,at02,at16
32,40086,at02,at08
33,40108,at23,at25
34,40109,at25,at26
35,40115,at24b,at26
36,40119,at01,at18
37,40134,at27,at24
38,40154,at05,at17
39,40157,at25,at15
40,40170,at10,at01
41,40183,at22,at21
42,40201,at06,at01
43,40221,at25,at23
44,40223,at09,at01
45,41043,at08,at09
46,41086,at37,at01
47,41113,at37,at24b
48,41231,at02,at03
49,41301,at05,at05
50,41322,at02,at13
51,41393,at09,at01
52,41396,at20,at10
53,41408,at31,at27
54,41434,at22,at15
55,41455,at02,at05
56,41472,at08,at10
57,41473,at31,at30
58,41505,at29,at25
59,43089,at25,at01
60,43312,at25,at15
61,43323,at17,at20
62,43332,at10,at25
63,43348,at28,at14
64,43360,at11,at19
65,43416,at01,at09
66,43434,at02,at25
67,43440,at09,at01
68,43446,at05,at05
69,43471,at14,at09
70,49576,at16,at15
71,49830,at08,at21
72,49863,at10,at10
73,49877,downstream_conflict,at25
74,49914,at23,at15
75,49988,at37,at21b
76,50258,at25,at16
77,50364,at06,at09
78,50520,at01,at09
79,50552,at01,at22
80,57176,at02,at08
81,58476,at13,at10
